Year,Week,Percent of Deaths Due to Pneumonia and Influenza,Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths
2009,40,7.82771697,7.23411,7.50529,46412,3484,149
2009,41,8.346070222,7.32283,7.59398,46453,3703,174
2009,42,8.598343554,7.41794,7.68906,47451,3841,239
2009,43,8.737696797,7.51805,7.78913,46431,3762,295
2009,44,8.77311492,7.62168,7.89273,47372,3858,298
2009,45,8.864371314,7.72731,7.99833,47313,3929,265
2009,46,8.444740575,7.83339,8.10437,46526,3721,208
2009,47,8.259015122,7.93837,8.20931,46422,3655,179
2009,48,8.168430741,8.0407,8.31161,47806,3779,126
2009,49,8.289388285,8.13888,8.40976,49304,3982,105
2009,50,8.287337828,8.23147,8.50232,49099,3985,84
2009,51,7.944362985,8.31712,8.58793,49104,3838,63
2009,52,8.781264486,8.39455,8.66533,49617,4310,47
2010,1,8.751813086,8.46265,8.7334,51018,4428,37
2010,2,8.79570941,8.5204,8.79111,51275,4471,39
2010,3,8.699310787,8.56694,8.83762,49912,4314,28
2010,4,8.465619388,8.60159,8.87223,48443,4072,29
2010,5,8.378328817,8.62382,8.89443,49079,4085,27
2010,6,8.312051077,8.63331,8.90389,50120,4128,38
2010,7,8.436336265,8.62989,8.90043,50484,4236,23
2010,8,8.608770147,8.61359,8.8841,50193,4291,30
2010,9,8.68010726,8.58465,8.85512,50345,4342,28
2010,10,8.775563034,8.54345,8.81389,50219,4377,30
2010,11,8.656383195,8.49058,8.76099,49270,4236,29
2010,12,8.502091357,8.42678,8.69716,48294,4081,25
2010,13,8.22625269,8.35297,8.62331,48795,3986,28
2010,14,8.367351211,8.27019,8.5405,47769,3983,14
2010,15,7.946584009,8.17963,8.44991,47102,3730,13
2010,16,7.674817675,8.08258,8.35282,46620,3569,9
2010,17,7.798095814,7.98042,8.25063,46319,3605,7
2010,18,7.647414837,7.87462,8.1448,46264,3530,8
2010,19,7.480264009,7.76669,8.03684,46362,3464,4
2010,20,7.505053168,7.65818,7.92828,45516,3413,3
2010,21,7.151336616,7.55062,7.8207,45488,3251,2
2010,22,7.203258512,7.44557,7.71561,45174,3250,4
2010,23,7.358566091,7.34453,7.61453,44968,3304,5
2010,24,7.033673017,7.24892,7.5189,45140,3173,2
2010,25,7.048912191,7.16013,7.43007,44631,3143,3
2010,26,7.046987385,7.07941,7.34931,44629,3141,4
2010,27,7.060114085,7.0079,7.27777,45580,3215,3
2010,28,6.956056451,6.94663,7.21647,44853,3115,5
2010,29,6.93734875,6.89646,7.16626,44628,3093,3
2010,30,6.682324247,6.85808,7.12785,44281,2956,3
2010,31,6.773674327,6.83204,7.10178,44732,3029,1
2010,32,6.605855856,6.81869,7.08839,44400,2928,5
2010,33,6.792461337,6.8182,7.08787,44358,3010,3
2010,34,6.534296029,6.83054,7.10018,44320,2894,2
2010,35,6.886896832,6.85553,7.12513,44287,3048,2
2010,36,7.076071676,6.89277,7.16234,44813,3168,3
2010,37,7.064159292,6.94169,7.21123,45200,3189,4
2010,38,6.87522171,7.00158,7.27108,45104,3100,1
2010,39,7.116659302,7.07152,7.34099,45260,3215,6
2010,40,7.009667025,7.17123,7.51903,46550,3258,5
2010,41,7.442510209,7.25991,7.60749,46530,3456,7
2010,42,7.280996302,7.35655,7.70391,47054,3423,3
2010,43,7.525033306,7.45967,7.80682,46538,3497,5
2010,44,7.399590553,7.56771,7.91463,47381,3501,5
2010,45,7.461174184,7.67901,8.02572,48357,3605,3
2010,46,7.378224985,7.79191,8.1384,48101,3540,9
2010,47,7.583981223,7.90468,8.25096,47719,3606,13
2010,48,7.907395656,8.01564,8.36169,48853,3854,9
2010,49,7.639040892,8.12309,8.46893,50255,3826,13
2010,50,7.888050659,8.22543,8.57106,51166,4024,12
2010,51,8.084085501,8.32111,8.66651,50853,4093,18
2010,52,8.731425531,8.40867,8.75386,52626,4565,30
2011,1,9.073271803,8.4868,8.83178,53090,4764,53
2011,2,9.053396212,8.55431,8.89906,52588,4696,65
2011,3,9.088134882,8.61015,8.95469,52431,4698,67
2011,4,9.346616441,8.65347,8.99779,52297,4800,88
2011,5,9.208152612,8.68358,9.02769,52106,4692,106
2011,6,9.26437739,8.7,9.04389,52826,4744,150
2011,7,9.644936081,8.70243,9.0461,53427,4961,192
2011,8,9.879642761,8.69079,9.03424,52178,4982,173
2011,9,9.562317952,8.66519,9.00843,52184,4807,183
2011,10,9.441944021,8.62595,8.96897,51769,4723,165
2011,11,9.12942382,8.57358,8.91639,50748,4486,147
2011,12,8.881697954,8.5088,8.85139,49754,4325,94
2011,13,8.618353189,8.43248,8.77485,49441,4182,79
2011,14,8.29582898,8.34567,8.68782,49772,4054,75
2011,15,8.295532219,8.24957,8.59151,48279,3958,47
2011,16,8.181950904,8.14552,8.48724,47947,3891,32
2011,17,7.796553103,8.03496,8.37646,47521,3692,13
2011,18,7.948739602,7.91942,8.26071,47366,3745,20
2011,19,7.875442441,7.80052,8.14159,47464,3735,3
2011,20,7.681091049,7.67992,8.02077,46634,3575,7
2011,21,7.611097998,7.55928,7.89992,46603,3542,5
2011,22,7.562589182,7.4403,7.78072,46254,3493,5
2011,23,7.435423561,7.3246,7.66481,46534,3457,3
2011,24,7.259204489,7.21381,7.55379,45983,3333,5
2011,25,7.282031096,7.10943,7.4492,45729,3328,2
2011,26,7.287563921,7.01292,7.35247,45955,3346,3
2011,27,6.983668287,6.92557,7.26491,45678,3189,1
2011,28,6.947693666,6.84858,7.1877,45310,3146,2
2011,29,6.974810146,6.78298,7.12188,45693,3184,3
2011,30,6.653476792,6.72963,7.06831,44984,2990,3
2011,31,6.57094077,6.68921,7.02768,45686,3001,1
2011,32,6.684486072,6.66223,7.00048,45269,3024,2
2011,33,6.625327822,6.64899,6.98702,44994,2980,1
2011,34,6.824053452,6.64959,6.98741,44900,3061,3
2011,35,6.747374434,6.66394,7.00154,45514,3067,4
2011,36,6.653516257,6.69174,7.02912,45119,3000,2
2011,37,6.738233598,6.7325,7.06967,45086,3036,2
2011,38,6.956427252,6.78555,7.1225,46015,3200,1
2011,39,6.970338049,6.85004,7.18677,45378,3162,1
2011,40,6.970629729,6.89355,7.22882,46782,3257,4
2011,41,7.280536798,6.97958,7.31474,46796,3402,5
2011,42,7.079985508,7.07302,7.40807,46921,3317,5
2011,43,7.187599533,7.17248,7.50742,47095,3381,4
2011,44,7.272651756,7.27647,7.61131,48153,3494,8
2011,45,7.541273464,7.38344,7.71817,48639,3662,6
2011,46,7.565139637,7.4918,7.82642,48089,3636,2
2011,47,7.523285351,7.59994,7.93445,47240,3546,8
2011,48,7.668228324,7.70624,8.04064,47599,3642,8
2011,49,7.678575093,7.80913,8.14342,48733,3741,1
2011,50,7.855077186,7.90708,8.24126,49102,3849,8
2011,51,7.769428635,7.99862,8.3327,49373,3828,8
2011,52,7.967329944,8.08241,8.41637,49954,3970,10
2012,1,8.478324689,8.15718,8.49104,51095,4322,10
2012,2,8.343471606,8.22181,8.55556,50962,4245,7
2012,3,8.370907665,8.27534,8.60898,51010,4261,9
2012,4,8.448458027,8.31696,8.65049,50163,4227,11
2012,5,8.140332473,8.34602,8.67945,49568,4026,9
2012,6,8.109680266,8.36208,8.6954,49854,4024,19
2012,7,8.179700762,8.36486,8.69807,50662,4129,15
2012,8,8.292232418,8.3543,8.6874,50891,4191,29
2012,9,8.406383899,8.33051,8.6635,50878,4234,43
2012,10,8.6816847,8.2938,8.62668,50739,4346,59
2012,11,8.572611001,8.24467,8.57744,50743,4288,62
2012,12,8.350065916,8.18379,8.51646,49305,4060,57
2012,13,7.975231429,8.11203,8.44458,48287,3796,55
2012,14,8.009919405,8.03036,8.36281,48390,3828,48
2012,15,7.706418279,7.93996,8.2723,49063,3758,23
2012,16,7.622300393,7.84208,8.17431,48896,3690,37
2012,17,7.505197505,7.7381,8.07023,48100,3573,37
2012,18,7.437636029,7.6295,7.96152,47784,3527,27
2012,19,7.159368178,7.51781,7.84971,46722,3330,15
2012,20,7.117627032,7.4046,7.7364,46996,3329,16
2012,21,7.062497326,7.29147,7.62316,46754,3289,13
2012,22,6.83586111,7.18002,7.5116,46022,3138,8
2012,23,6.639048914,7.07181,7.40328,46347,3068,9
2012,24,6.747889281,6.96838,7.29974,46785,3153,4
2012,25,6.826804258,6.87116,7.20241,46127,3147,2
2012,26,6.862574876,6.78153,7.11267,46076,3159,3
2012,27,6.447052776,6.70073,7.03176,46688,3004,6
2012,28,6.608025431,6.62988,6.96081,45929,3033,2
2012,29,6.557234293,6.56997,6.90079,45934,3011,1
2012,30,6.330361641,6.52181,6.85252,45653,2889,1
2012,31,6.620209059,6.48604,6.81665,45920,3039,1
2012,32,6.570571607,6.46314,6.79364,46343,3040,5
2012,33,6.583304287,6.45339,6.78377,45904,3018,4
2012,34,6.425215942,6.45687,6.78715,46193,2964,4
2012,35,6.522020725,6.47348,6.80365,46320,3016,5
2012,36,6.667666852,6.50294,6.833,46658,3109,2
2012,37,6.825201408,6.54475,6.87471,46299,3160,0
2012,38,6.72440911,6.59828,6.92812,46413,3120,1
2012,39,6.785127103,6.66267,6.99241,47442,3217,2
2012,40,6.711899791,6.67667,7.03999,47900,3210,5
2012,41,6.915004373,6.76134,7.12446,48026,3315,6
2012,42,6.952080085,6.85463,7.21755,48748,3382,7
2012,43,7.086729669,6.95512,7.31783,47723,3376,6
2012,44,6.846460313,7.06129,7.42379,48945,3348,3
2012,45,6.885790306,7.17154,7.53383,49987,3433,9
2012,46,7.068310242,7.28421,7.6463,49729,3495,20
2012,47,6.982064051,7.39762,7.75951,49398,3430,19
